lat,lng,pvalue,inside,group,rect,drywet
8,-177.5,8.8209929680574164479e-05,false,,[object Object],
9,-177.5,4.0620070419131276178e-06,false,,[object Object],
10,-177.5,1.2652396596174715916e-05,false,,[object Object],
11,-177.5,0.0043211993421566358836,false,,[object Object],
12,-177.5,0.023546307660133089512,false,,[object Object],
13,-177.5,0.0010502874596129989273,false,,[object Object],
14,-177.5,0.0049480031579459821112,true,dry#0,[object Object],
15,-177.5,0.049839087953896216154,true,dry#0,[object Object],
16,-177.5,0.0042992182482290437068,true,dry#0,[object Object],
17,-177.5,0.013741642561527940558,true,dry#0,[object Object],
18,-177.5,0.0037923632208918737867,true,dry#0,[object Object],
19,-177.5,1.9910181482084958918e-07,true,dry#0,[object Object],
20,-177.5,4.9976178175515849312e-05,true,dry#0,[object Object],
21,-177.5,0.0011989076709598453334,true,dry#0,[object Object],
22,-177.5,0.0013961845103964256112,true,dry#0,[object Object],
